company,rank,industry,overall,worklife,compensation,security,management,worklife
Walt Disney Parks and Resorts,1,"Restaurants, Travel and Leisure",4.3,3.9,3.9,3.9,3.9,3.9
In-N-Out Burger,2,"Restaurants, Travel and Leisure",4.5,4.2,4.4,4.5,4.2,4.2
Keller Williams Realty,3,Real Estate,4.4,4.2,3.7,3.6,4.1,4.2
Mary Kay Inc,4,Consumer Goods and Services,4.4,4.4,3.9,3.9,4.1,4.4
Costco Wholesale,5,Retail,4.2,3.9,4.3,3.9,3.7,3.9
H&R Block,6,Banks and Financial Services,4.2,4.2,3.4,3.6,4,4.2
Southwest Airlines,7,Transport and Freight,4.5,4.1,4.4,4.1,3.9,4.1
NIKE,8,Consumer Goods and Services,4.2,4,3.8,3.7,3.7,4
Kaiser Permanente,9,Health Care,4.2,4.1,4.3,3.9,3.7,4.1
Apple,10,Computers and Electronics,4.3,3.8,4.1,3.7,3.7,3.8
The Walt Disney Company,11,"Restaurants, Travel and Leisure",4.2,3.9,3.8,3.6,3.8,3.9
Publix,12,Retail,4.2,3.9,4.1,4,3.8,3.9
HEB,13,Retail,4.3,4,4.1,4,3.8,4
Network Capital Funding Corporation,14,Banks and Financial Services,4.4,4.2,4.2,4.2,4.4,4.2
The Ritz-Carlton,15,"Restaurants, Travel and Leisure",4.5,4.2,4.2,4.2,4.1,4.2
RE/MAX,16,Real Estate,4.2,4,3.4,3.4,3.9,4
Insight Global,17,Consulting and Business Services,4.3,4.1,3.8,3.7,4,4.1
Wegmans,18,Retail,4.3,4.1,4,4,3.8,4.1
Delta,19,Transport and Freight,4.2,3.9,4,3.7,3.6,3.9
QuikTrip,20,Retail,4.3,3.9,4.4,4.2,4,3.9
Spirit Halloween Super Store,21,Retail,4.2,4.1,3.4,3.3,4,4.1
Coldwell Banker,22,Real Estate,4.3,4.1,3.6,3.6,4,4.1
Starbucks,23,"Restaurants, Travel and Leisure",4.2,3.9,4,3.8,3.6,3.9
Johnson & Johnson,24,Pharmaceuticals,4.3,4.1,4.1,3.7,3.8,4.1
Four Seasons,25,"Restaurants, Travel and Leisure",4.3,3.9,4,4,4,3.9
Chick-fil-A,26,"Restaurants, Travel and Leisure",4.2,4,3.3,3.7,3.8,4
Massachusetts General Hospital,27,Health Care,4.4,4.1,4.1,4,3.9,4.1
Mayo Clinic,28,Health Care,4.2,4,4.2,3.8,3.6,4
Royal Caribbean Cruises Ltd.,29,"Restaurants, Travel and Leisure",4.2,3.8,3.8,3.9,3.8,3.8
Google,30,Internet and Software,4.3,4.2,4,3.6,3.8,4.2
Build-A-Bear Workshop,31,Retail,4.3,4.1,3.4,3.5,4,4.1
Primerica,32,Insurance,4.2,4.1,3.8,3.9,4.1,4.1
Marriott Vacations Worldwide,33,"Restaurants, Travel and Leisure",4.2,3.9,3.8,3.8,3.8,3.9
American Express,34,Banks and Financial Services,4.2,4,4,3.7,3.8,4
Florida Hospital,35,Health Care,4.2,4,4,3.8,3.7,4
Pfizer Inc.,36,Health Care,4.2,4,4.1,3.6,3.8,4
Intel,37,Computers and Electronics,4.2,4,4.2,3.6,3.6,4
Boeing,38,Aerospace and Defense,4.1,3.9,4.2,3.4,3.4,3.9
Jackson Hewitt,39,Consulting and Business Services,4.1,4,3.3,3.3,3.8,4
Microsoft,40,Internet and Software,4.2,3.9,4,3.5,3.6,3.9
NewYork-Presbyterian Hospital,41,Health Care,4.2,3.9,4.1,3.9,3.6,3.9
Texas Roadhouse,42,"Restaurants, Travel and Leisure",4.1,3.8,3.2,3.5,3.6,3.8
JetBlue Airways Corporation,43,Transport and Freight,4.3,4,4,3.7,3.6,4
Chevron,44,Energy and Utilities,4.1,3.9,3.6,3.4,3.6,3.9
Intuit,45,Internet and Software,4.2,4.1,4.2,3.4,3.7,4.1
Trader Joe's,46,Retail,4.2,3.9,4.1,3.7,3.7,3.9
Abbott Laboratories,47,Health Care,4.2,3.9,4.1,3.6,3.7,3.9
ConocoPhillips,48,Agriculture and Extraction,4.1,4.1,4.2,3.4,3.7,4.1
"Marriott International, Inc.",49,"Restaurants, Travel and Leisure",4.1,3.8,3.7,3.7,3.7,3.8
Memorial Hermann,50,Health Care,4.1,3.9,3.8,3.7,3.6,3.9
